"Label (Grouping)","Ashland city, Oregon!!Estimate","Ashland city, Oregon!!Margin of Error","Ashland city, Oregon!!Percent","Ashland city, Oregon!!Percent Margin of Error","Baker City city, Oregon!!Estimate","Baker City city, Oregon!!Margin of Error","Baker City city, Oregon!!Percent","Baker City city, Oregon!!Percent Margin of Error","Cottage Grove city, Oregon!!Estimate","Cottage Grove city, Oregon!!Margin of Error","Cottage Grove city, Oregon!!Percent","Cottage Grove city, Oregon!!Percent Margin of Error","Eagle Point city, Oregon!!Estimate","Eagle Point city, Oregon!!Margin of Error","Eagle Point city, Oregon!!Percent","Eagle Point city, Oregon!!Percent Margin of Error","Forest Grove city, Oregon!!Estimate","Forest Grove city, Oregon!!Margin of Error","Forest Grove city, Oregon!!Percent","Forest Grove city, Oregon!!Percent Margin of Error","Klamath Falls city, Oregon!!Estimate","Klamath Falls city, Oregon!!Margin of Error","Klamath Falls city, Oregon!!Percent","Klamath Falls city, Oregon!!Percent Margin of Error","Newberg city, Oregon!!Estimate","Newberg city, Oregon!!Margin of Error","Newberg city, Oregon!!Percent","Newberg city, Oregon!!Percent Margin of Error","Newport city, Oregon!!Estimate","Newport city, Oregon!!Margin of Error","Newport city, Oregon!!Percent","Newport city, Oregon!!Percent Margin of Error","North Bend city, Oregon!!Estimate","North Bend city, Oregon!!Margin of Error","North Bend city, Oregon!!Percent","North Bend city, Oregon!!Percent Margin of Error","Ontario city, Oregon!!Estimate","Ontario city, Oregon!!Margin of Error","Ontario city, Oregon!!Percent","Ontario city, Oregon!!Percent Margin of Error","Prineville city, Oregon!!Estimate","Prineville city, Oregon!!Margin of Error","Prineville city, Oregon!!Percent","Prineville city, Oregon!!Percent Margin of Error","Roseburg city, Oregon!!Estimate","Roseburg city, Oregon!!Margin of Error","Roseburg city, Oregon!!Percent","Roseburg city, Oregon!!Percent Margin of Error","Sandy city, Oregon!!Estimate","Sandy city, Oregon!!Margin of Error","Sandy city, Oregon!!Percent","Sandy city, Oregon!!Percent Margin of Error","Silverton city, Oregon!!Estimate","Silverton city, Oregon!!Margin of Error","Silverton city, Oregon!!Percent","Silverton city, Oregon!!Percent Margin of Error","Sweet Home city, Oregon!!Estimate","Sweet Home city, Oregon!!Margin of Error","Sweet Home city, Oregon!!Percent","Sweet Home city, Oregon!!Percent Margin of Error","Tualatin city, Oregon!!Estimate","Tualatin city, Oregon!!Margin of Error","Tualatin city, Oregon!!Percent","Tualatin city, Oregon!!Percent Margin of Error","West Linn city, Oregon!!Estimate","West Linn city, Oregon!!Margin of Error","West Linn city, Oregon!!Percent","West Linn city, Oregon!!Percent Margin of Error"
"        1 bedroom","1,709","±340","15.2%","±2.9","518","±135","11.5%","±3.0","634","±222","14.2%","±4.6","69","±70","1.9%","±1.8","1,080","±299","11.5%","±3.1","1,314","±317","13.4%","±2.9","582","±223","6.1%","±2.4","730","±189","13.0%","±3.3","369","±138","8.1%","±2.9","655","±208","13.2%","±4.0","627","±285","13.2%","±5.9","1,174","±247","10.8%","±2.2","122","±80","2.7%","±1.8","331","±147","8.2%","±3.3","303","±152","7.5%","±3.7","1,523","±321","13.5%","±2.6","544","±192","5.2%","±1.8"
"        2 bedrooms","3,272","±395","29.0%","±3.4","1,364","±191","30.3%","±4.0","1,361","±239","30.6%","±5.3","609","±347","16.5%","±8.9","2,048","±356","21.8%","±3.4","3,349","±399","34.3%","±3.7","2,104","±407","22.2%","±4.0","1,952","±275","34.8%","±4.1","1,463","±274","32.1%","±6.0","1,543","±264","31.0%","±4.6","1,210","±272","25.5%","±5.4","3,475","±475","31.9%","±4.2","655","±226","14.6%","±4.7","1,355","±252","33.7%","±5.4","1,335","±308","32.9%","±6.8","2,903","±330","25.7%","±2.9","1,385","±260","13.3%","±2.5"
"        3 bedrooms","4,080","±369","36.2%","±2.9","1,706","±212","37.9%","±4.5","1,944","±236","43.7%","±5.1","2,515","±418","68.2%","±9.5","3,703","±362","39.5%","±3.4","3,450","±329","35.3%","±3.3","4,689","±471","49.5%","±4.8","2,086","±213","37.2%","±3.6","1,904","±293","41.7%","±6.1","2,135","±272","42.9%","±5.7","2,244","±316","47.4%","±6.2","4,107","±433","37.6%","±3.4","2,947","±372","65.5%","±7.1","1,557","±239","38.7%","±5.8","1,954","±317","48.1%","±7.6","3,827","±279","33.9%","±2.4","3,694","±397","35.5%","±3.4"
"        4 bedrooms","1,283","±278","11.4%","±2.5","746","±203","16.6%","±4.4","370","±123","8.3%","±2.7","339","±161","9.2%","±4.4","1,590","±267","16.9%","±3.0","715","±163","7.3%","±1.7","1,196","±328","12.6%","±3.4","616","±167","11.0%","±2.9","546","±145","12.0%","±2.9","307","±114","6.2%","±2.3","408","±130","8.6%","±2.8","1,293","±339","11.9%","±3.1","698","±261","15.5%","±5.8","654","±175","16.3%","±4.2","359","±150","8.8%","±3.8","2,398","±244","21.3%","±2.0","3,560","±330","34.3%","±3.0"
"        5 or more bedrooms","337","±139","3.0%","±1.2","85","±49","1.9%","±1.1","104","±56","2.3%","±1.2","59","±79","1.6%","±2.2","488","±161","5.2%","±1.7","450","±215","4.6%","±2.2","442","±212","4.7%","±2.2","77","±38","1.4%","±0.7","124","±79","2.7%","±1.7","128","±65","2.6%","±1.3","40","±48","0.8%","±1.0","301","±186","2.8%","±1.7","78","±45","1.7%","±1.0","124","±91","3.1%","±2.3","36","±60","0.9%","±1.5","399","±136","3.5%","±1.2","1,162","±258","11.2%","±2.6"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        Owner-occupied","5,616","±403","55.9%","±3.6","2,893","±219","70.0%","±3.8","2,396","±254","56.4%","±5.6","2,443","±405","67.5%","±9.6","5,572","±365","61.9%","±3.5","4,085","±382","45.3%","±3.7","5,948","±458","64.8%","±4.2","2,688","±262","59.0%","±4.3","2,330","±279","56.9%","±5.6","2,404","±262","54.6%","±5.1","2,586","±301","57.2%","±6.2","5,713","±491","55.7%","±3.7","3,316","±277","76.8%","±5.5","2,323","±220","59.7%","±5.7","2,412","±384","61.6%","±7.6","5,851","±317","54.5%","±2.6","8,360","±424","83.6%","±2.7"
"        Renter-occupied","4,436","±428","44.1%","±3.6","1,238","±168","30.0%","±3.8","1,851","±274","43.6%","±5.6","1,177","±389","32.5%","±9.6","3,427","±402","38.1%","±3.5","4,938","±422","54.7%","±3.7","3,229","±407","35.2%","±4.2","1,871","±224","41.0%","±4.3","1,766","±243","43.1%","±5.6","2,001","±240","45.4%","±5.1","1,936","±302","42.8%","±6.2","4,536","±408","44.3%","±3.7","1,001","±253","23.2%","±5.5","1,571","±289","40.3%","±5.7","1,505","±283","38.4%","±7.6","4,886","±340","45.5%","±2.6","1,638","±265","16.4%","±2.7"
"        Average household size of owner-occupied unit","2.23","±0.12","(X)","(X)","2.28","±0.14","(X)","(X)","2.63","±0.17","(X)","(X)","2.58","±0.37","(X)","(X)","3.06","±0.20","(X)","(X)","2.45","±0.15","(X)","(X)","2.61","±0.13","(X)","(X)","2.18","±0.16","(X)","(X)","2.56","±0.24","(X)","(X)","2.57","±0.22","(X)","(X)","2.33","±0.16","(X)","(X)","2.28","±0.14","(X)","(X)","2.96","±0.16","(X)","(X)","2.78","±0.24","(X)","(X)","2.33","±0.23","(X)","(X)","2.70","±0.08","(X)","(X)","2.78","±0.11","(X)","(X)"
"        Average household size of renter-occupied unit","1.81","±0.14","(X)","(X)","2.31","±0.31","(X)","(X)","2.25","±0.27","(X)","(X)","2.80","±0.45","(X)","(X)","2.24","±0.17","(X)","(X)","2.25","±0.16","(X)","(X)","2.44","±0.24","(X)","(X)","2.22","±0.23","(X)","(X)","2.34","±0.28","(X)","(X)","2.49","±0.23","(X)","(X)","2.31","±0.23","(X)","(X)","2.13","±0.15","(X)","(X)","2.57","±0.39","(X)","(X)","2.47","±0.38","(X)","(X)","2.66","±0.33","(X)","(X)","2.43","±0.17","(X)","(X)","2.31","±0.26","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        Moved in 2019 or later","1,419","±263","14.1%","±2.6","331","±128","8.0%","±3.0","440","±215","10.4%","±4.9","342","±269","9.4%","±7.3","1,068","±305","11.9%","±3.3","1,352","±277","15.0%","±2.9","1,128","±335","12.3%","±3.6","551","±155","12.1%","±3.1","654","±307","16.0%","±7.4","374","±121","8.5%","±2.7","388","±150","8.6%","±3.3","1,576","±285","15.4%","±2.7","400","±137","9.3%","±3.1","448","±195","11.5%","±4.8","582","±214","14.9%","±5.3","1,494","±295","13.9%","±2.6","697","±196","7.0%","±2.0"
"        Moved in 2015 to 2018","3,010","±375","29.9%","±3.5","1,635","±259","39.6%","±5.7","1,434","±239","33.8%","±5.5","1,240","±302","34.3%","±9.8","3,166","±465","35.2%","±4.4","3,554","±381","39.4%","±3.6","3,601","±509","39.2%","±5.1","1,544","±231","33.9%","±5.2","1,194","±240","29.2%","±5.5","1,431","±257","32.5%","±5.5","1,776","±325","39.3%","±6.7","3,292","±402","32.1%","±4.0","1,386","±338","32.1%","±7.5","1,135","±237","29.1%","±6.2","1,394","±298","35.6%","±7.7","3,728","±363","34.7%","±3.1","2,977","±376","29.8%","±3.7"
"        Moved in 2010 to 2014","1,900","±336","18.9%","±3.2","586","±133","14.2%","±3.2","788","±164","18.6%","±4.1","980","±333","27.1%","±8.4","1,760","±320","19.6%","±3.5","1,464","±248","16.2%","±2.8","1,517","±278","16.5%","±3.1","943","±204","20.7%","±4.1","573","±157","14.0%","±3.8","1,025","±253","23.3%","±5.5","970","±249","21.5%","±5.5","1,801","±378","17.6%","±3.5","1,151","±301","26.7%","±7.2","758","±186","19.5%","±4.7","717","±225","18.3%","±5.8","1,840","±207","17.1%","±2.0","1,660","±241","16.6%","±2.4"
"        Moved in 2000 to 2009","1,869","±305","18.6%","±2.8","817","±168","19.8%","±4.0","986","±227","23.2%","±5.0","837","±349","23.1%","±8.2","1,895","±287","21.1%","±3.2","1,443","±268","16.0%","±2.8","1,650","±342","18.0%","±3.8","777","±154","17.0%","±3.3","800","±214","19.5%","±5.1","848","±150","19.3%","±3.3","875","±245","19.3%","±5.3","1,656","±285","16.2%","±2.5","931","±232","21.6%","±5.3","965","±223","24.8%","±5.6","660","±204","16.8%","±5.0","2,158","±283","20.1%","±2.6","2,564","±354","25.6%","±3.4"
"        Moved in 1990 to 1999","1,150","±241","11.4%","±2.5","425","±124","10.3%","±3.0","285","±95","6.7%","±2.3","56","±51","1.5%","±1.3","759","±170","8.4%","±1.9","521","±125","5.8%","±1.4","865","±255","9.4%","±2.7","393","±118","8.6%","±2.5","381","±129","9.3%","±3.1","324","±98","7.4%","±2.2","176","±76","3.9%","±1.6","657","±211","6.4%","±2.0","305","±137","7.1%","±3.1","322","±127","8.3%","±3.1","229","±121","5.8%","±3.1","1,036","±169","9.6%","±1.5","1,266","±244","12.7%","±2.4"
"        Moved in 1989 and earlier","704","±164","7.0%","±1.6","337","±84","8.2%","±2.1","314","±99","7.4%","±2.3","165","±131","4.6%","±3.4","351","±98","3.9%","±1.1","689","±165","7.6%","±1.8","416","±147","4.5%","±1.6","351","±113","7.7%","±2.5","494","±133","12.1%","±3.1","403","±131","9.1%","±3.0","337","±144","7.5%","±3.1","1,267","±253","12.4%","±2.4","144","±94","3.3%","±2.1","266","±113","6.8%","±2.7","335","±221","8.6%","±5.4","481","±98","4.5%","±0.9","834","±171","8.3%","±1.6"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        No vehicles available","527","±197","5.2%","±2.0","285","±109","6.9%","±2.6","461","±165","10.9%","±3.8","160","±158","4.4%","±4.2","712","±167","7.9%","±1.9","963","±189","10.7%","±1.9","718","±262","7.8%","±2.8","293","±82","6.4%","±1.8","422","±156","10.3%","±3.6","424","±147","9.6%","±3.3","344","±113","7.6%","±2.5","935","±281","9.1%","±2.6","132","±87","3.1%","±2.0","139","±102","3.6%","±2.6","283","±117","7.2%","±3.0","526","±178","4.9%","±1.6","185","±84","1.9%","±0.8"
"        1 vehicle available","4,149","±470","41.3%","±4.0","1,312","±197","31.8%","±4.1","1,410","±228","33.2%","±4.9","767","±315","21.2%","±7.5","2,736","±473","30.4%","±4.3","3,346","±447","37.1%","±4.3","2,513","±411","27.4%","±4.1","1,946","±239","42.7%","±4.5","1,169","±236","28.5%","±5.2","1,751","±309","39.8%","±6.1","1,454","±293","32.2%","±6.0","3,548","±385","34.6%","±3.3","951","±233","22.0%","±5.1","1,387","±247","35.6%","±5.0","1,376","±324","35.1%","±7.2","2,953","±317","27.5%","±2.8","2,254","±354","22.5%","±3.2"
"        2 vehicles available","3,929","±377","39.1%","±3.5","1,672","±205","40.5%","±4.9","1,661","±284","39.1%","±5.8","1,550","±402","42.8%","±9.7","3,332","±352","37.0%","±3.8","3,079","±389","34.1%","±4.0","3,871","±387","42.2%","±3.8","1,650","±276","36.2%","±5.3","1,656","±328","40.4%","±7.8","1,502","±271","34.1%","±5.8","1,680","±276","37.2%","±5.9","3,765","±416","36.7%","±3.8","1,993","±319","46.2%","±6.8","1,521","±253","39.1%","±5.7","1,156","±273","29.5%","±7.1","4,989","±414","46.5%","±3.1","4,663","±361","46.6%","±3.7"
"        3 or more vehicles available","1,447","±271","14.4%","±2.7","862","±134","20.9%","±3.2","715","±162","16.8%","±4.2","1,143","±301","31.6%","±9.4","2,219","±291","24.7%","±3.4","1,635","±251","18.1%","±3.0","2,075","±282","22.6%","±3.3","670","±147","14.7%","±3.3","849","±199","20.7%","±5.0","728","±161","16.5%","±4.0","1,044","±223","23.1%","±4.9","2,001","±303","19.5%","±3.1","1,241","±238","28.7%","±5.8","847","±172","21.8%","±4.9","1,102","±239","28.1%","±6.0","2,269","±242","21.1%","±2.5","2,896","±320","29.0%","±3.1"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        Utility gas","4,717","±408","46.9%","±4.0","2,544","±227","61.6%","±4.1","1,399","±202","32.9%","±4.8","1,973","±351","54.5%","±9.4","2,755","±250","30.6%","±2.8","4,580","±401","50.8%","±3.7","4,232","±420","46.1%","±4.1","1,187","±210","26.0%","±4.0","425","±148","10.4%","±3.6","1,899","±211","43.1%","±4.7","1,931","±249","42.7%","±5.2","4,260","±499","41.6%","±4.4","2,581","±358","59.8%","±7.9","1,958","±214","50.3%","±5.5","1,295","±275","33.1%","±7.2","5,100","±321","47.5%","±2.5","6,853","±413","68.5%","±3.7"
"        Bottled, tank, or LP gas","91","±81","0.9%","±0.8","50","±31","1.2%","±0.7","14","±16","0.3%","±0.4","33","±60","0.9%","±1.6","35","±35","0.4%","±0.4","124","±69","1.4%","±0.8","82","±71","0.9%","±0.8","28","±28","0.6%","±0.6","70","±50","1.7%","±1.2","24","±28","0.5%","±0.6","67","±81","1.5%","±1.8","48","±47","0.5%","±0.5","76","±57","1.8%","±1.3","24","±32","0.6%","±0.8","60","±64","1.5%","±1.6","147","±87","1.4%","±0.8","291","±188","2.9%","±1.9"
"        Electricity","5,103","±470","50.8%","±3.8","1,136","±180","27.5%","±4.2","2,566","±295","60.4%","±5.2","1,577","±406","43.6%","±9.1","5,919","±459","65.8%","±3.0","3,354","±382","37.2%","±3.8","4,601","±439","50.1%","±4.3","3,198","±251","70.1%","±4.0","3,014","±299","73.6%","±5.4","2,395","±260","54.4%","±4.6","2,043","±298","45.2%","±6.2","5,500","±522","53.7%","±4.6","1,517","±339","35.1%","±7.4","1,766","±292","45.4%","±5.5","2,232","±354","57.0%","±7.5","5,378","±342","50.1%","±2.7","2,720","±394","27.2%","±3.6"
"        Fuel oil, kerosene, etc.","21","±34","0.2%","±0.3","126","±93","3.1%","±2.3","0","±20","0.0%","±0.9","0","±18","0.0%","±1.0","99","±121","1.1%","±1.3","133","±58","1.5%","±0.6","66","±60","0.7%","±0.7","0","±20","0.0%","±0.8","104","±51","2.5%","±1.2","7","±10","0.2%","±0.2","85","±98","1.9%","±2.2","110","±81","1.1%","±0.8","22","±34","0.5%","±0.8","18","±28","0.5%","±0.7","87","±114","2.2%","±2.9","10","±11","0.1%","±0.1","33","±40","0.3%","±0.4"
"        Coal or coke","0","±24","0.0%","±0.4","0","±18","0.0%","±0.9","0","±20","0.0%","±0.9","0","±18","0.0%","±1.0","0","±24","0.0%","±0.4","0","±24","0.0%","±0.4","0","±24","0.0%","±0.4","0","±20","0.0%","±0.8","0","±20","0.0%","±0.9","0","±20","0.0%","±0.8","0","±20","0.0%","±0.8","0","±24","0.0%","±0.4","0","±20","0.0%","±0.9","0","±20","0.0%","±1.0","0","±18","0.0%","±1.0","0","±24","0.0%","±0.3","0","±24","0.0%","±0.4"
"        Wood","92","±58","0.9%","±0.6","254","±92","6.1%","±2.2","208","±95","4.9%","±2.2","37","±54","1.0%","±1.5","146","±78","1.6%","±0.9","176","±75","2.0%","±0.8","137","±85","1.5%","±0.9","114","±62","2.5%","±1.4","456","±169","11.1%","±4.1","80","±42","1.8%","±1.0","351","±162","7.8%","±3.5","266","±143","2.6%","±1.4","48","±51","1.1%","±1.2","81","±54","2.1%","±1.4","166","±105","4.2%","±2.7","18","±16","0.2%","±0.1","62","±55","0.6%","±0.5"
"        Solar energy","15","±23","0.1%","±0.2","0","±18","0.0%","±0.9","6","±10","0.1%","±0.2","0","±18","0.0%","±1.0","0","±24","0.0%","±0.4","35","±37","0.4%","±0.4","0","±24","0.0%","±0.4","0","±20","0.0%","±0.8","0","±20","0.0%","±0.9","0","±20","0.0%","±0.8","0","±20","0.0%","±0.8","0","±24","0.0%","±0.4","0","±20","0.0%","±0.9","0","±20","0.0%","±1.0","4","±31","0.1%","±0.8","5","±9","0.0%","±0.1","0","±24","0.0%","±0.4"
"        Other fuel","0","±24","0.0%","±0.4","21","±20","0.5%","±0.5","9","±14","0.2%","±0.3","0","±18","0.0%","±1.0","0","±24","0.0%","±0.4","482","±139","5.3%","±1.5","0","±24","0.0%","±0.4","7","±10","0.2%","±0.2","10","±12","0.2%","±0.3","0","±20","0.0%","±0.8","7","±18","0.2%","±0.4","47","±36","0.5%","±0.3","10","±17","0.2%","±0.4","7","±11","0.2%","±0.3","36","±60","0.9%","±1.5","0","±24","0.0%","±0.3","34","±51","0.3%","±0.5"
"        No fuel used","13","±20","0.1%","±0.2","0","±18","0.0%","±0.9","45","±52","1.1%","±1.2","0","±18","0.0%","±1.0","45","±44","0.5%","±0.5","139","±66","1.5%","±0.7","59","±69","0.6%","±0.8","25","±23","0.5%","±0.5","17","±20","0.4%","±0.5","0","±20","0.0%","±0.8","38","±53","0.8%","±1.2","18","±28","0.2%","±0.3","63","±77","1.5%","±1.8","40","±55","1.0%","±1.4","37","±59","0.9%","±1.5","79","±84","0.7%","±0.8","5","±9","0.1%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        Lacking complete plumbing facilities","36","±47","0.4%","±0.5","0","±18","0.0%","±0.9","0","±20","0.0%","±0.9","0","±18","0.0%","±1.0","28","±45","0.3%","±0.5","37","±56","0.4%","±0.6","80","±85","0.9%","±0.9","8","±13","0.2%","±0.3","0","±20","0.0%","±0.9","14","±15","0.3%","±0.3","0","±20","0.0%","±0.8","37","±40","0.4%","±0.4","0","±20","0.0%","±0.9","0","±20","0.0%","±1.0","0","±18","0.0%","±1.0","126","±103","1.2%","±1.0","0","±24","0.0%","±0.4"
"        Lacking complete kitchen facilities","77","±53","0.8%","±0.5","79","±70","1.9%","±1.7","42","±24","1.0%","±0.6","95","±147","2.6%","±4.0","304","±122","3.4%","±1.3","152","±76","1.7%","±0.8","284","±207","3.1%","±2.2","30","±14","0.7%","±0.3","17","±29","0.4%","±0.7","61","±31","1.4%","±0.7","124","±72","2.7%","±1.6","230","±165","2.2%","±1.6","86","±97","2.0%","±2.3","0","±20","0.0%","±1.0","81","±91","2.1%","±2.3","241","±135","2.2%","±1.3","44","±50","0.4%","±0.5"
"        No telephone service available","30","±29","0.3%","±0.3","69","±60","1.7%","±1.4","18","±19","0.4%","±0.5","34","±45","0.9%","±1.2","90","±71","1.0%","±0.8","225","±112","2.5%","±1.2","47","±67","0.5%","±0.7","35","±29","0.8%","±0.6","50","±78","1.2%","±1.9","31","±29","0.7%","±0.7","36","±47","0.8%","±1.0","131","±98","1.3%","±1.0","20","±33","0.5%","±0.8","75","±65","1.9%","±1.7","0","±18","0.0%","±1.0","58","±43","0.5%","±0.4","56","±60","0.6%","±0.6"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","10,052","±415","10,052","(X)","4,131","±206","4,131","(X)","4,247","±249","4,247","(X)","3,620","±396","3,620","(X)","8,999","±475","8,999","(X)","9,023","±430","9,023","(X)","9,177","±381","9,177","(X)","4,559","±283","4,559","(X)","4,096","±241","4,096","(X)","4,405","±230","4,405","(X)","4,522","±227","4,522","(X)","10,249","±468","10,249","(X)","4,317","±229","4,317","(X)","3,894","±291","3,894","(X)","3,917","±262","3,917","(X)","10,737","±362","10,737","(X)","9,998","±345","9,998","(X)"
"        1.00 or less","9,960","±448","99.1%","±0.9","4,081","±208","98.8%","±1.0","4,038","±318","95.1%","±3.4","3,436","±417","94.9%","±3.2","8,733","±498","97.0%","±1.3","8,816","±425","97.7%","±1.1","8,654","±482","94.3%","±2.7","4,502","±277","98.7%","±1.2","4,029","±258","98.4%","±1.4","4,171","±235","94.7%","±2.5","4,441","±241","98.2%","±1.3","10,177","±489","99.3%","±0.7","4,189","±278","97.0%","±2.5","3,746","±318","96.2%","±1.9","3,754","±292","95.8%","±2.9","10,439","±419","97.2%","±1.3","9,948","±345","99.5%","±0.5"
"        1.01 to 1.50","4","±8","0.0%","±0.1","20","±24","0.5%","±0.6","209","±142","4.9%","±3.4","184","±115","5.1%","±3.2","205","±115","2.3%","±1.3","120","±66","1.3%","±0.7","241","±151","2.6%","±1.7","44","±43","1.0%","±0.9","67","±57","1.6%","±1.4","92","±55","2.1%","±1.2","51","±41","1.1%","±0.9","56","±65","0.5%","±0.6","121","±104","2.8%","±2.4","126","±64","3.2%","±1.7","113","±81","2.9%","±2.1","197","±115","1.8%","±1.1","40","±43","0.4%","±0.4"
"        1.51 or more","88","±84","0.9%","±0.8","30","±35","0.7%","±0.8","0","±20","0.0%","±0.9","0","±18","0.0%","±1.0","61","±43","0.7%","±0.5","87","±66","1.0%","±0.7","282","±196","3.1%","±2.2","13","±18","0.3%","±0.4","0","±20","0.0%","±0.9","142","±100","3.2%","±2.2","30","±42","0.7%","±0.9","16","±21","0.2%","±0.2","7","±23","0.2%","±0.5","22","±36","0.6%","±0.9","50","±66","1.3%","±1.7","101","±79","0.9%","±0.7","10","±15","0.1%","±0.2"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","5,616","±403","5,616","(X)","2,893","±219","2,893","(X)","2,396","±254","2,396","(X)","2,443","±405","2,443","(X)","5,572","±365","5,572","(X)","4,085","±382","4,085","(X)","5,948","±458","5,948","(X)","2,688","±262","2,688","(X)","2,330","±279","2,330","(X)","2,404","±262","2,404","(X)","2,586","±301","2,586","(X)","5,713","±491","5,713","(X)","3,316","±277","3,316","(X)","2,323","±220","2,323","(X)","2,412","±384","2,412","(X)","5,851","±317","5,851","(X)","8,360","±424","8,360","(X)"
"        Less than $50,000","33","±35","0.6%","±0.6","107","±56","3.7%","±1.9","150","±77","6.3%","±3.1","121","±126","5.0%","±5.0","337","±138","6.0%","±2.5","215","±85","5.3%","±2.1","124","±65","2.1%","±1.1","76","±37","2.8%","±1.3","10","±17","0.4%","±0.7","376","±141","15.6%","±5.2","247","±123","9.6%","±4.7","394","±151","6.9%","±2.5","194","±88","5.9%","±2.7","43","±38","1.9%","±1.6","309","±172","12.8%","±6.6","29","±24","0.5%","±0.4","13","±22","0.2%","±0.3"
"        $50,000 to $99,999","121","±72","2.2%","±1.3","450","±122","15.6%","±4.1","9","±14","0.4%","±0.6","67","±62","2.7%","±2.5","76","±47","1.4%","±0.9","548","±168","13.4%","±3.7","408","±172","6.9%","±2.7","100","±51","3.7%","±1.8","48","±56","2.1%","±2.4","272","±102","11.3%","±4.1","155","±109","6.0%","±3.9","316","±153","5.5%","±2.6","57","±57","1.7%","±1.7","90","±69","3.9%","±3.0","165","±111","6.8%","±4.1","68","±40","1.2%","±0.7","17","±28","0.2%","±0.3"
